movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,movie_feature
the chorus,Drama Music,Christophe Barratier,Jean-Baptiste Maunier,François Berléand,Gérard Jugnot,Jean-Baptiste Maunier François Berléand Gérard Jugnot Christophe Barratier Drama Music
mambo italiano,Comedy Drama,Émile Gaudreault,Paul Sorvino,Luke Kirby,Claudia Ferri,Paul Sorvino Luke Kirby Claudia Ferri Émile Gaudreault Comedy Drama
wonderland,Crime Drama Mystery Thriller,James Cox,Alexis Dziena,Louis Lombardi,Franky G,Alexis Dziena Louis Lombardi Franky G James Cox Crime Drama Mystery Thriller
do the right thing,Drama,Spike Lee,Ruby Dee,John Savage,Danny Aiello,Ruby Dee John Savage Danny Aiello Spike Lee Drama
harvard man,Comedy Crime Drama Romance Thriller,James Toback,Sarah Michelle Gellar,Eric Stoltz,Joey Lauren Adams,Sarah Michelle Gellar Eric Stoltz Joey Lauren Adams James Toback Comedy Crime Drama Romance Thriller
le havre,Comedy Drama,Aki Kaurismäki,Jean-Pierre Léaud,Kati Outinen,Jean-Pierre Darroussin,Jean-Pierre Léaud Kati Outinen Jean-Pierre Darroussin Aki Kaurismäki Comedy Drama
irreversible,Crime Drama Mystery Thriller,Gaspar Noé,Philippe Nahon,Albert Dupontel,Jo Prestia,Philippe Nahon Albert Dupontel Jo Prestia Gaspar Noé Crime Drama Mystery Thriller
r100,Comedy Drama,Hitoshi Matsumoto,Lindsay Kay Hayward,Hitoshi Matsumoto,Shinobu Terajima,Lindsay Kay Hayward Hitoshi Matsumoto Shinobu Terajima Hitoshi Matsumoto Comedy Drama
animals,Drama,Collin Schiffli,Kim Shaw,John Heard,David Dastmalchian,Kim Shaw John Heard David Dastmalchian Collin Schiffli Drama
salvation boulevard,Action Comedy Drama Thriller,George Ratliff,Jim Gaffigan,Cree Kelly,Mike Eshaq,Jim Gaffigan Cree Kelly Mike Eshaq George Ratliff Action Comedy Drama Thriller
the ten,Comedy Romance,David Wain,Jon Hamm,Ken Marino,Ron Silver,Jon Hamm Ken Marino Ron Silver David Wain Comedy Romance
a room for romeo brass,Comedy Drama,Shane Meadows,Bob Hoskins,Paddy Considine,Shane Meadows,Bob Hoskins Paddy Considine Shane Meadows Shane Meadows Comedy Drama
headhunters,Crime Drama Thriller,Morten Tyldum,Aksel Hennie,Synnøve Macody Lund,Julie R. Ølgaard,Aksel Hennie Synnøve Macody Lund Julie R. Ølgaard Morten Tyldum Crime Drama Thriller
grabbers,Comedy Horror Sci-Fi Thriller,Jon Wright,Russell Tovey,Richard Coyle,Bronagh Gallagher,Russell Tovey Richard Coyle Bronagh Gallagher Jon Wright Comedy Horror Sci-Fi Thriller
saint ralph,Comedy Drama Sport,Michael McGowan,Campbell Scott,Adam Butcher,Gordon Pinsent,Campbell Scott Adam Butcher Gordon Pinsent Michael McGowan Comedy Drama Sport
miss julie,Drama Romance,Liv Ullmann,Samantha Morton,Jessica Chastain,Colin Farrell,Samantha Morton Jessica Chastain Colin Farrell Liv Ullmann Drama Romance
somewhere in time,Drama Fantasy Romance,Jeannot Szwarc,Teresa Wright,Bill Erwin,George Voskovec,Teresa Wright Bill Erwin George Voskovec Jeannot Szwarc Drama Fantasy Romance
insidious: chapter 2,Fantasy Horror Thriller,James Wan,Lin Shaye,Barbara Hershey,Leigh Whannell,Lin Shaye Barbara Hershey Leigh Whannell James Wan Fantasy Horror Thriller
saw ii,Horror Mystery,Darren Lynn Bousman,Emmanuelle Vaugier,Tony Nappo,Shawnee Smith,Emmanuelle Vaugier Tony Nappo Shawnee Smith Darren Lynn Bousman Horror Mystery
10 cloverfield lane,Drama Horror Mystery Sci-Fi Thriller,Dan Trachtenberg,Bradley Cooper,John Gallagher Jr.,Sumalee Montano,Bradley Cooper John Gallagher Jr. Sumalee Montano Dan Trachtenberg Drama Horror Mystery Sci-Fi Thriller
jackass: the movie,Comedy Documentary,Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,Bam Margera Steve-O Chris Pontius Jeff Tremaine Comedy Documentary
lights out,Horror,David F. Sandberg,Billy Burke,Amiah Miller,Gabriel Bateman,Billy Burke Amiah Miller Gabriel Bateman David F. Sandberg Horror
paranormal activity 3,Horror,Henry Joost,Johanna Braddy,Sprague Grayden,Christopher Nicholas Smith,Johanna Braddy Sprague Grayden Christopher Nicholas Smith Henry Joost Horror
ouija,Fantasy Horror,Stiles White,Lin Shaye,Shelley Hennig,Daren Kagasoff,Lin Shaye Shelley Hennig Daren Kagasoff Stiles White Fantasy Horror
a nightmare on elm street 3: dream warriors,Action Fantasy Horror Thriller,Chuck Russell,John Saxon,Heather Langenkamp,Jennifer Rubin,John Saxon Heather Langenkamp Jennifer Rubin Chuck Russell Action Fantasy Horror Thriller
the gift,Mystery Thriller,Joel Edgerton,Busy Philipps,Allison Tolman,Wendell Pierce,Busy Philipps Allison Tolman Wendell Pierce Joel Edgerton Mystery Thriller
instructions not included,Comedy Drama,Eugenio Derbez,Eugenio Derbez,Jessica Lindsey,Hugo Stiglitz,Eugenio Derbez Jessica Lindsey Hugo Stiglitz Eugenio Derbez Comedy Drama
paranormal activity 4,Horror,Henry Joost,Matt Shively,Brendon Eggertsen,Alisha Boe,Matt Shively Brendon Eggertsen Alisha Boe Henry Joost Horror
the robe,Drama History,Henry Koster,Richard Burton,Jean Simmons,Victor Mature,Richard Burton Jean Simmons Victor Mature Henry Koster Drama History
the return of the pink panther,Comedy Crime Mystery,Blake Edwards,Burt Kwouk,Herbert Lom,Catherine Schell,Burt Kwouk Herbert Lom Catherine Schell Blake Edwards Comedy Crime Mystery
freddy's dead: the final nightmare,Comedy Fantasy Horror Thriller,Rachel Talalay,Johnny Depp,Tom Arnold,Yaphet Kotto,Johnny Depp Tom Arnold Yaphet Kotto Rachel Talalay Comedy Fantasy Horror Thriller
monster,Biography Crime Drama Thriller,Patty Jenkins,Charlize Theron,Bruce Dern,Pruitt Taylor Vince,Charlize Theron Bruce Dern Pruitt Taylor Vince Patty Jenkins Biography Crime Drama Thriller
paranormal activity: the marked ones,Fantasy Horror Thriller,Christopher Landon,Richard Cabral,Gloria Sandoval,Molly Ephraim,Richard Cabral Gloria Sandoval Molly Ephraim Christopher Landon Fantasy Horror Thriller
the elephant man,Biography Drama,David Lynch,Anthony Hopkins,Anne Bancroft,Dexter Fletcher,Anthony Hopkins Anne Bancroft Dexter Fletcher David Lynch Biography Drama
dallas buyers club,Biography Drama,Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,Denis O'Hare,Matthew McConaughey Jennifer Garner Denis O'Hare Jean-Marc Vallée Biography Drama
the lazarus effect,Horror Sci-Fi Thriller,David Gelb,Olivia Wilde,Mark Duplass,Donald Glover,Olivia Wilde Mark Duplass Donald Glover David Gelb Horror Sci-Fi Thriller
memento,Mystery Thriller,Christopher Nolan,Callum Rennie,Thomas Lennon,Jorja Fox,Callum Rennie Thomas Lennon Jorja Fox Christopher Nolan Mystery Thriller
oculus,Horror Mystery,Mike Flanagan,James Lafferty,Rory Cochrane,Garrett Ryan,James Lafferty Rory Cochrane Garrett Ryan Mike Flanagan Horror Mystery
clerks ii,Comedy,Kevin Smith,Ethan Suplee,Jason Mewes,Brian O'Halloran,Ethan Suplee Jason Mewes Brian O'Halloran Kevin Smith Comedy
billy elliot,Drama Music,Stephen Daldry,Julie Walters,Gary Lewis,Jamie Draven,Julie Walters Gary Lewis Jamie Draven Stephen Daldry Drama Music
the way way back,Comedy Drama,Nat Faxon,Steve Carell,Liam James,Jim Rash,Steve Carell Liam James Jim Rash Nat Faxon Comedy Drama
house party 2,Comedy Drama Music Romance,George Jackson,William Schallert,Tisha Campbell-Martin,Helen Martin,William Schallert Tisha Campbell-Martin Helen Martin George Jackson Comedy Drama Music Romance
the man from snowy river,Adventure Drama Family Romance Western,George Miller,Tony Bonner,Jack Thompson,Tom Burlinson,Tony Bonner Jack Thompson Tom Burlinson George Miller Adventure Drama Family Romance Western
doug's 1st movie,Animation Comedy Family,Maurice Joyce,Frank Welker,Constance Shulman,Alice Playten,Frank Welker Constance Shulman Alice Playten Maurice Joyce Animation Comedy Family
the apostle,Drama,Robert Duvall,John Beasley,Todd Allen,June Carter Cash,John Beasley Todd Allen June Carter Cash Robert Duvall Drama
mommie dearest,Biography Drama,Frank Perry,Faye Dunaway,Xander Berkeley,Diana Scarwid,Faye Dunaway Xander Berkeley Diana Scarwid Frank Perry Biography Drama
our idiot brother,Comedy Drama,Jesse Peretz,Zooey Deschanel,Adam Scott,Steve Coogan,Zooey Deschanel Adam Scott Steve Coogan Jesse Peretz Comedy Drama
the players club,Comedy Drama,Ice Cube,Bernie Mac,Monica Calhoun,Chrystale Wilson,Bernie Mac Monica Calhoun Chrystale Wilson Ice Cube Comedy Drama
o,Drama Romance Thriller,Tim Blake Nelson,Mekhi Phifer,Andrew Keegan,John Heard,Mekhi Phifer Andrew Keegan John Heard Tim Blake Nelson Drama Romance Thriller
"as above, so below",Horror Mystery Thriller,John Erick Dowdle,Ben Feldman,Edwin Hodge,Perdita Weeks,Ben Feldman Edwin Hodge Perdita Weeks John Erick Dowdle Horror Mystery Thriller
addicted,Drama Thriller,Bille Woodruff,Boris Kodjoe,Cameron Mills,Sharon Leal,Boris Kodjoe Cameron Mills Sharon Leal Bille Woodruff Drama Thriller
eve's bayou,Drama,Kasi Lemmons,Jurnee Smollett-Bell,Lynn Whitfield,Diahann Carroll,Jurnee Smollett-Bell Lynn Whitfield Diahann Carroll Kasi Lemmons Drama
still alice,Drama,Richard Glatzer,Kristen Stewart,Hunter Parrish,Seth Gilliam,Kristen Stewart Hunter Parrish Seth Gilliam Richard Glatzer Drama
the egyptian,Drama History,Michael Curtiz,Gene Tierney,Peter Ustinov,Jean Simmons,Gene Tierney Peter Ustinov Jean Simmons Michael Curtiz Drama History
nighthawks,Action Crime Thriller,Bruce Malmuth,Sylvester Stallone,Lindsay Wagner,Persis Khambatta,Sylvester Stallone Lindsay Wagner Persis Khambatta Bruce Malmuth Action Crime Thriller
friday the 13th part viii: jason takes manhattan,Adventure Horror,Rob Hedden,Kane Hodder,Peter Mark Richman,Scott Reeves,Kane Hodder Peter Mark Richman Scott Reeves Rob Hedden Adventure Horror
my big fat greek wedding,Comedy Family Romance,Joel Zwick,Nia Vardalos,Louis Mandylor,Lainie Kazan,Nia Vardalos Louis Mandylor Lainie Kazan Joel Zwick Comedy Family Romance
spring breakers,Crime Drama,Harmony Korine,James Franco,Heather Morris,Rachel Korine,James Franco Heather Morris Rachel Korine Harmony Korine Crime Drama
halloween: the curse of michael myers,Horror Thriller,Joe Chappelle,Donald Pleasence,Kim Darby,Mitchell Ryan,Donald Pleasence Kim Darby Mitchell Ryan Joe Chappelle Horror Thriller
y tu mamá también,Adventure Comedy Drama Romance,Alfonso Cuarón,Maribel Verdú,Daniel Giménez Cacho,María Aura,Maribel Verdú Daniel Giménez Cacho María Aura Alfonso Cuarón Adventure Comedy Drama Romance
shaun of the dead,Comedy Horror,Edgar Wright,Peter Serafinowicz,Dylan Moran,Rafe Spall,Peter Serafinowicz Dylan Moran Rafe Spall Edgar Wright Comedy Horror
